Date;SalesAmount;Promotion;HolidayMonth
1/01/2020;12248;0;0
1/02/2020;13011;0;0
1/03/2020;12722;0;0
1/04/2020;14030;1;0
1/05/2020;7783;0;0
1/06/2020;9131;1;0
1/07/2020;9089;0;0
1/08/2020;10300;0;0
1/09/2020;10464;0;0
1/10/2020;13786;1;0
1/11/2020;9969;0;0
1/12/2020;14534;0;1
1/01/2021;12720;0;0
1/02/2021;12724;0;0
1/03/2021;12136;0;0
1/04/2021;10468;0;0
1/05/2021;10279;1;0
1/06/2021;7976;0;0
1/07/2021;8445;0;0
1/08/2021;9810;0;0
1/09/2021;12031;0;0
1/10/2021;10937;0;0
1/11/2021;10834;0;0
1/12/2021;14696;0;1
1/01/2022;16623;1;0
1/02/2022;14336;0;0
1/03/2022;13023;0;0
1/04/2022;11537;0;0
1/05/2022;8800;0;0
1/06/2022;8273;0;0
1/07/2022;9199;0;0
1/08/2022;12043;0;0
1/09/2022;11892;0;0
1/10/2022;11121;0;0
1/11/2022;11812;0;0
1/12/2022;15645;0;1
1/01/2023;13904;0;0
1/02/2023;13901;0;0
1/03/2023;13534;0;0
1/04/2023;12048;0;0
1/05/2023;12949;1;0
1/06/2023;9104;0;0
1/07/2023;10042;0;0
1/08/2023;11566;0;0
1/09/2023;11759;0;0
1/10/2023;11890;0;0
1/11/2023;11770;0;0
1/12/2023;17996;0;1
1/01/2024;;0;0
1/02/2024;;0;0
1/03/2024;;0;0
1/04/2024;;1;0
1/05/2024;;1;0
1/06/2024;;0;0
